			0,11	4,72					0,11	0,004					0,11	4,64					0,11	54	
			0,112	4,72					0,112	0					0,112	4,64					0,112	54	
			0,114	4,72					0,114	0,004					0,114	4,64					0,114	54	
			0,116	4,72					0,116	0,004					0,116	4,56					0,116	54	
			0,118	4,72					0,118	0,004					0,118	4,64					0,118	54	
			0,12	4,72					0,12	0,012					0,12	4,64					0,12	54	
			0,122	4,72					0,122	0,008					0,122	4,64					0,122	54	
			0,124	4,72					0,124	0,008					0,124	4,56					0,124	54	
			0,126	4,72					0,126	0,012					0,126	4,64					0,126	54	
			0,128	4,72					0,128	0,008					0,128	4,64					0,128	56	
			0,13	4,72					0,13	0,012					0,13	4,64					0,13	54	
			0,132	4,72					0,132	0,012					0,132	4,64					0,132	56	
			0,134	4,72					0,134	0,016					0,134	4,64					0,134	54	
			0,136	4,72					0,136	0,012					0,136	4,64					0,136	56	
			0,138	4,72					0,138	0,02					0,138	4,56					0,138	56	
			0,14	4,72					0,14	0,012					0,14	4,64					0,14	56	
			0,142	4,72					0,142	0,016					0,142	4,64					0,142	56	
			0,144	4,72					0,144	0,016					0,144	4,72					0,144	56	
			0,146	4,72					0,146	0,024					0,146	4,64					0,146	58	
			0,148	4,72					0,148	0,024					0,148	4,64					0,148	58	
			0,15	4,72					0,15	0,016					0,15	4,64					0,15	56	
			0,152	4,72					0,152	0,032					0,152	4,64					0,152	58	
			0,154	4,72					0,154	0,04					0,154	4,64					0,154	56	
			0,156	4,72					0,156	0,076					0,156	4,64					0,156	58	
			0,158	4,72					0,158	0,104					0,158	4,64					0,158	58	
			0,16	4,72					0,16	0,124					0,16	4,64					0,16	58	
			0,162	4,72					0,162	0,156					0,162	4,64					0,162	58	
			0,164	4,72					0,164	0,264					0,164	4,64					0,164	58	
			0,166	4,72					0,166	0,248					0,166	4,56					0,166	58	
			0,168	4,72					0,168	0,164					0,168	4,64					0,168	58	
			0,17	4,72					0,17	0,076					0,17	4,64					0,17	58	
			0,172	4,72					0,172	0,052					0,172	4,64					0,172	58	
			0,174	4,72					0,174	0,032					0,174	4,64					0,174	58	
			0,176	4,72					0,176	0,024					0,176	4,64					0,176	58	
			0,178	4,72					0,178	0,012					0,178	4,64					0,178	58	
			0,18	4,72					0,18	0,012					0,18	4,64					0,18	58	
			0,182	4,72					0,182	0,016					0,182	4,64					0,182	58	
			0,184	4,72					0,184	0,008					0,184	4,64					0,184	58	
			0,186	4,72					0,186	0,008					0,186	4,64					0,186	60	
			0,188	4,72					0,188	0,012					0,188	4,64					0,188	58	
			0,19	4,72					0,19	0,004					0,19	4,64					0,19	58	
			0,192	4,72					0,192	0,012					0,192	4,64					0,192	60	
			0,194	4,72					0,194	0,004					0,194	4,64					0,194	60	
